	SpeechIDdrop
0	VSMP1422019111
1	VSMP1622019110
2	VSMP2522019108
3	VSMP1432019101
4	VSMP273201918
5	VSMP15201989
6	VSMP155201983
7	VSMP305201916
8	VSMP305201976
9	VSMP19201960
10	VSMP59201958
11	VSMP209201954
12	VSMP81202038
13	VSMP231202037
14	VSMP192202033
15	VSMP135202014
16	VSMP36202012
17	VSMP29620206
18	VSMP3820202
19	VSMP299202028
20	VSMP12120210
21	VSMP1322019113
22	VSMP262201920
23	VSMP59201959
24	VSMP1411201940
25	VSMP18720204
