	SpeechIDdrop
0	MEJB2082019151
1	MEJB2782019149
2	MEJB392019148
3	MEJB992019147
4	MEJB28102019141
5	MEJB712020127
6	MEJB2922020122
7	MEJB55202087
8	MEJB145202078
9	MEJB205202076
10	MEJB245202072
11	MEJB116202059
12	MEJB126202058
13	MEJB107202040
14	MEJB127202038
15	MEJB127202039
16	MEJB28202018
17	MEJB38202017
18	MEJB11820205
