	SpeechIDdrop
0	CSPANDT309201915
1	CSPANDT151202031
2	CSPANDT224202042
3	CSPANDT75202043
4	CSPANDT185202044
5	CSPANDT77202047
6	CSPANDT188202052
7	CSPANDT139202060
8	CSPANDT149202061
9	CSPANDT259202071
