id,publicId,title,description,date,link,videoTypeId
540658,468891-1,"Joe Biden in Des Moines, Iowa","Former Vice President Joe Biden, a candidate for the 2020 Democratic presidential nomination, delivered remarks to supporters after the close of Iowa&rsquo;s first-in-the-nation caucuses. At the time of the speech, there was a delay in the caucus results due to inconsistencies in reporting.",2020-02-03,https://www.c-span.org/video/?468891-1/joe-biden-des-moines-iowa,Speech
540772,468947-1,"Joe Biden Campaign Event in Nashua, New Hampshire","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke at a &ldquo;get-out-the-vote&rdquo; event in Nashua, New Hampshire.",2020-02-04,https://www.c-span.org/video/?468947-1/joe-biden-campaign-event-nashua-hampshire,Speech
539103,467982-1,New Hampshire Democratic Party McIntyre-Shaheen Dinner,"2020 Democratic presidential candidates Pete Buggigieg, Senator Amy Klobuchar (D-MN), former Vice President Joe Biden, Andrew Yang, Tom Steyer, Senator Elizabeth Warren (D-MA), Senator Bernie Sanders (I-VT), former Massachusetts Governor Deval Patrick, Senator Michael Bennet (D-CO), and Representative Tulsi Gabbard (D-HI) spoke at the New Hampshire Democratic Party&rsquo;s 61st annual McIntyre-Shaheen 100 Club event. New Hampshire&rsquo;s first-in-the-nation primary was to be held on February 11. The first 43 minutes of the program include opening remarks, the pledge of allegiance, the singing of the national anthem by the New Hampshire Gay Men&rsquo;s Choir, camera pan shots of the crowd and venue, and a couple of viewer phone calls.",2020-02-08,https://www.c-span.org/video/?467982-1/hampshire-democratic-party-mcintyre-shaheen-dinner,Speech
541034,469091-1,Joe Biden Campaign Event in Hudson New Hampshire,"Former Vice President Joe Biden, a 2020 Democratic presidential candidate, held a town hall with voters in Hudson, New Hampshire. Following his remarks, he took questions from the audience and later took pictures with them at the conclusion of the event.",2020-02-09,https://www.c-span.org/video/?469091-1/joe-biden-campaign-event-hudson-hampshire,Speech
541180,469185-1,"Joe Biden Meeting with Voters in Manchester, New Hampshire","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke at a campaign event in Manchester, New Hampshire the day before the Granite State&rsquo;s &ldquo;first-in-the-nation&rdquo; primary election.",2020-02-10,https://www.c-span.org/video/?469185-1/joe-biden-meeting-voters-manchester-hampshire,Speech
541357,469284-1,"Joe Biden in Columbia, South Carolina","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, held a rally in the South Carolina state capital of Columbia.",2020-02-11,https://www.c-span.org/video/?469284-1/joe-biden-columbia-south-carolina,Speech
541589,469414-1,Joe Biden Holds Early Vote Event in Las Vegas,2020 Democratic presidential candidate Joe Biden held an early vote event in the Chinatown neighborhood of Las Vegas. The event was sponsored by a group promoting Asian American and Pacific Islanders in U.S. politics and was aimed at getting Nevada Democrats to take part in early voting for the state&rsquo;s party caucuses.,2020-02-18,https://www.c-span.org/video/?469414-1/joe-biden-holds-early-vote-event-las-vegas,Speech
541781,469536-1,Joe Biden Remarks on Gun Violence,"Joe Biden , a 2020 Democratic presidential candidate, spoke about gun violence at a community center in Las Vegas. Family members of gun violence victims joined the former vice president at the event. Mr. Biden spoke on his history regarding gun legislation, and what he hoped to accomplish as president, saying the number of lives lost and affected by gun violence was too high.",2020-02-20,https://www.c-span.org/video/?469536-1/joe-biden-remarks-gun-violence,Speech
541750,469512-1,Joe Biden Remarks Following Nevada Caucuses,"Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke to supporters following the conclusion of Nevada&rsquo;s Democratic caucuses. After thanking the crowd in Las Vegas, he acknowledged his strong showing at the caucus, telling the crowd, &ldquo;We are alive, and we are coming back.&rdquo;",2020-02-22,https://www.c-span.org/video/?469512-1/joe-biden-remarks-nevada-caucuses,Speech
542105,469740-1,Representative Jim Clyburn Endorsement of Joe Biden,"Three days before South Carolina&rsquo;s Democratic presidential primary, House Majority Whip James Clyburn (D-SC) announced his endorsement of 2020 Democratic presidential candidate Joe Biden. During his remarks, Representative Clyburn spoke of the former vice president&rsquo;s long history in government, saying he had never seen another politician more committed to the same policy goals. Mr. Biden then spoke, thanking Representative Clyburn before saying winning South Carolina would be the start of winning the nomination.",2020-02-26,https://www.c-span.org/video/?469740-1/representative-jim-clyburn-endorsement-joe-biden,Speech
